
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023a (9.14.0.2206163) 64-bit (glnxa64)
                             February 22, 2023

Warning: X does not support locale en_US.UTF-8
 
To get started, type doc.
For product information, visit www.mathworks.com.
 
*************************************************************************************
Solving problem 2013_firL1Linfalph from pass dataset ...
[Matrices A]
	block 1: 20903 x 119412, norm  = 4.0299e+04, sparcity = 3.1880e-02
	total: 20903 x 119412, norm = 4.0299e+04, sparcity = 3.1880e-02
[Cone]
	block 1: 'q' [ 3 3 3 3 3 ... 3 3 3 3 3 ]
		(Cartesian product of 39804 cones with sizes ranging from 3 to 3)
System_opt = 2
Number of dense rows: 1001
Number of sparse rows: 19902
Number of dense columns (new At): 0
Number of sparse columns (new At): 180119
Number of non-zero elements in lhs_structure: 19902
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
    1 1.0e+00 -8.8e+03  3.7e+03 1.0e+00 1.3e+02 6.4e-01 1.0e+00 7.5e-01 8.9e-01 7.5e-14 3.6e-11 6.0e-07 1.0e+00 
    2 1.0e+00 -1.2e+04 -2.9e+03 6.2e-01 1.3e+02 2.8e-01 5.0e-01 2.8e-01 5.9e-01 1.0e-13 1.8e-11 3.6e-07 1.0e+00 
    3 1.0e+00 -1.1e+04 -7.4e+03 2.0e-01 1.1e+02 5.6e-02 1.5e-01 1.0e-01 3.0e-01 1.1e-15 1.6e-15 2.2e-07 1.0e+00 
    4 1.0e+00 -1.0e+04 -4.0e+03 4.4e-01 1.1e+02 4.1e-02 1.3e-01 3.2e-02 1.1e-01 8.2e-15 1.0e-14 1.3e-07 1.0e+00 
    5 1.0e+00 -1.0e+04 -2.9e+00 1.0e+00 1.1e+02 3.1e-02 1.1e-01 2.1e-02 6.7e-02 2.6e-14 2.6e-14 7.8e-08 5.9e-01 
    6 1.0e+00 -6.2e+03  1.5e+03 1.0e+00 6.3e+01 1.5e-01 2.6e-01 1.4e-02 4.2e-02 1.6e-14 1.6e-14 4.7e-08 5.9e-01 
    7 1.0e+00  7.7e+02 -1.1e+01 1.0e+00 8.2e+00 2.8e-02 3.9e-02 1.2e-02 5.6e-02 2.1e-15 6.9e-15 2.8e-08 1.0e+00 
    8 1.0e+00  3.9e+01 -7.4e+00 9.8e-01 5.6e-01 1.5e-02 2.7e-02 8.3e-04 2.0e-02 8.0e-15 1.0e-14 1.7e-08 1.0e+00 
    9 1.0e+00  5.7e+00 -7.5e+00 9.3e-01 1.1e-01 1.5e-02 2.7e-02 6.5e-04 1.1e-02 7.5e-15 9.4e-15 1.0e-08 8.1e-01 
   10 1.0e+00 -2.1e+00 -6.0e+00 4.4e-01 7.4e-02 7.5e-03 1.3e-02 9.9e-04 1.6e-02 1.5e-15 1.5e-15 6.0e-09 1.0e+00 
   11 1.0e+00 -2.3e+00 -4.5e+00 2.8e-01 1.3e-02 3.7e-03 6.4e-03 7.1e-04 1.8e-02 2.3e-16 2.5e-16 3.6e-09 1.0e+00 
   12 1.0e+00 -2.4e+00 -3.6e+00 1.7e-01 5.3e-03 1.0e-03 1.8e-03 5.2e-04 2.1e-02 4.3e-17 1.7e-16 2.2e-09 1.0e+00 
   13 1.0e+00 -2.5e+00 -3.3e+00 1.1e-01 3.7e-03 1.9e-03 3.3e-03 9.8e-05 8.7e-03 6.7e-16 6.7e-16 2.2e-09 5.9e-01 
   14 1.0e+00 -2.6e+00 -3.3e+00 9.7e-02 2.9e-03 9.9e-04 1.7e-03 2.9e-04 1.7e-02 1.2e-16 1.2e-16 2.2e-09 1.0e+00 
   15 1.0e+00 -2.7e+00 -3.3e+00 9.4e-02 2.4e-03 8.6e-04 1.5e-03 1.0e-04 9.0e-03 1.3e-16 1.3e-16 2.2e-09 6.6e-01 
   16 1.0e+00 -2.7e+00 -3.4e+00 9.5e-02 2.1e-03 1.1e-03 1.9e-03 6.3e-05 6.0e-03 1.6e-16 1.7e-16 2.2e-09 5.9e-01 
   17 1.0e+00 -2.8e+00 -3.5e+00 9.8e-02 1.9e-03 1.5e-03 2.6e-03 5.5e-05 4.6e-03 1.8e-14 1.2e-13 2.2e-09 5.9e-01 
   18 1.0e+00 -2.8e+00 -3.6e+00 1.1e-01 1.8e-03 9.4e-04 1.6e-03 1.2e-04 7.8e-03 7.6e-17 8.4e-17 2.2e-09 1.0e+00 
   19 1.0e+00 -2.8e+00 -3.7e+00 1.1e-01 1.6e-03 9.2e-04 1.6e-03 5.0e-05 4.5e-03 9.9e-17 2.1e-16 2.2e-09 7.3e-01 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   20 1.0e+00 -2.9e+00 -3.8e+00 1.1e-01 1.4e-03 8.7e-04 1.5e-03 3.4e-05 3.1e-03 1.4e-16 1.5e-16 2.2e-09 6.6e-01 
   21 1.0e+00 -2.9e+00 -3.8e+00 1.2e-01 1.3e-03 7.0e-04 1.2e-03 2.3e-05 2.2e-03 4.9e-16 4.9e-16 1.3e-09 5.9e-01 
   22 1.0e+00 -3.0e+00 -3.7e+00 9.5e-02 7.5e-04 1.9e-03 3.2e-03 1.3e-05 1.4e-03 3.9e-16 4.1e-16 1.3e-09 5.9e-01 
   23 1.0e+00 -3.0e+00 -3.7e+00 8.8e-02 4.0e-04 7.7e-04 1.3e-03 5.1e-05 3.1e-03 9.7e-17 1.5e-16 1.3e-09 1.0e+00 
   24 1.0e+00 -3.0e+00 -3.7e+00 9.0e-02 3.6e-04 3.0e-04 5.1e-04 3.2e-05 3.2e-03 1.3e-16 6.6e-16 1.3e-09 1.0e+00 
   25 1.0e+00 -3.0e+00 -3.8e+00 9.2e-02 3.0e-04 2.9e-04 5.1e-04 8.5e-06 1.6e-03 7.4e-17 1.1e-16 1.3e-09 7.3e-01 
   26 1.0e+00 -3.1e+00 -3.8e+00 9.5e-02 2.5e-04 1.8e-04 3.1e-04 5.9e-06 1.1e-03 1.9e-15 7.8e-16 1.3e-09 6.6e-01 
   27 1.0e+00 -3.1e+00 -3.9e+00 9.9e-02 1.8e-04 2.2e-04 3.9e-04 2.5e-06 6.2e-04 4.0e-16 3.9e-16 7.8e-10 5.9e-01 
   28 1.0e+00 -3.1e+00 -3.8e+00 8.1e-02 4.2e-06 8.9e-04 1.5e-03 2.2e-06 4.7e-04 4.9e-16 6.8e-16 7.8e-10 5.9e-01 
   29 1.0e+00 -3.1e+00 -3.7e+00 7.4e-02 1.4e-04 1.1e-04 1.9e-04 1.3e-05 1.2e-03 5.8e-17 9.9e-17 7.8e-10 1.0e+00 
   30 1.0e+00 -3.1e+00 -3.7e+00 7.1e-02 9.8e-05 9.1e-05 1.6e-04 1.1e-06 3.8e-04 3.6e-16 3.8e-16 4.7e-10 5.9e-01 
   31 1.0e+00 -3.2e+00 -3.5e+00 4.8e-02 1.3e-04 1.3e-03 2.3e-03 6.4e-07 2.4e-04 7.5e-16 9.2e-16 2.8e-10 5.9e-01 
   32 1.0e+00 -3.2e+00 -3.4e+00 3.1e-02 3.9e-04 1.5e-04 2.6e-04 1.4e-05 1.1e-03 6.1e-17 2.8e-16 2.8e-10 1.0e+00 
