
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023a (9.14.0.2206163) 64-bit (glnxa64)
                             February 22, 2023

Warning: X does not support locale en_US.UTF-8
 
To get started, type doc.
For product information, visit www.mathworks.com.
 
*************************************************************************************
Solving problem 2013_firL2Linfeps from pass dataset ...
[Matrices A]
	block 1: 24655 x 59636, norm  = 1.0089e+04, sparcity = 1.2996e-02
	total: 24655 x 59636, norm = 1.0089e+04, sparcity = 1.2996e-02
[Cone]
	block 1: 'q' [ 23855 3 3 3 3 ... 3 3 3 3 3 ]
		(Cartesian product of 11928 cones with sizes ranging from 3 to 23855)
System_opt = 2
Number of dense rows: 801
Number of sparse rows: 23854
Number of dense columns (new At): 2
Number of sparse columns (new At): 108145
Number of non-zero elements in lhs_structure: 143126
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
    1 1.0e+00 -2.7e+02 -3.7e-03 1.0e+00 1.8e+02 2.7e-01 2.2e+03 4.6e+03 5.1e+00 6.2e-15 6.5e-15 4.6e-06 1.0e+00 
    2 1.0e+00 -2.2e+02 -7.4e-03 1.0e+00 1.4e+02 1.7e-02 1.3e+02 6.5e+02 1.1e+00 8.1e-15 1.3e-14 2.1e-06 1.0e+00 
    3 1.0e+00 -2.1e+01 -1.2e-02 9.5e-01 1.3e+01 3.0e-03 1.1e+00 1.2e+01 1.1e-01 2.6e-14 2.6e-13 9.7e-07 1.0e+00 
    4 1.0e+00 -7.3e-01 -1.2e-02 4.1e-01 4.7e-01 5.0e-04 4.1e-01 5.1e-02 3.6e-02 1.5e-14 5.7e-12 4.5e-07 1.0e+00 
    5 1.0e+00 -3.1e-01 -9.6e-03 2.3e-01 2.0e-01 1.2e-03 2.5e-01 1.6e-02 1.3e-02 4.2e-13 2.4e-11 2.1e-07 5.9e-01 
    6 1.0e+00 -1.1e-01 -7.9e-03 9.5e-02 7.0e-02 1.2e-03 6.5e-01 6.3e-03 1.8e-02 6.0e-13 1.2e-11 9.5e-08 6.6e-01 
    7 1.0e+00 -5.7e-02 -9.0e-03 4.5e-02 2.9e-02 1.6e-03 1.2e+00 2.4e-02 1.8e-02 2.9e-13 5.0e-12 4.4e-08 5.9e-01 
    8 1.0e+00 -1.2e-02 -1.1e-02 8.3e-04 1.3e-03 1.3e-03 6.2e-01 4.7e-02 2.0e-02 3.8e-13 2.2e-12 2.0e-08 1.0e+00 
    9 1.0e+00 -1.1e-02 -1.1e-02 2.1e-05 8.5e-04 7.3e-04 2.9e-01 2.2e-02 1.8e-02 3.7e-12 3.8e-12 9.2e-09 1.0e+00 
   10 1.0e+00 -1.0e-02 -1.0e-02 6.1e-05 4.3e-04 4.8e-04 2.1e-01 1.0e-02 1.4e-02 2.5e-12 4.4e-12 4.2e-09 1.0e+00 
   11 1.0e+00 -1.0e-02 -1.0e-02 2.6e-05 3.8e-04 4.4e-04 2.0e-01 7.5e-03 1.2e-02 7.5e-12 1.0e-11 4.2e-09 8.1e-01 
   12 1.0e+00 -1.0e-02 -1.0e-02 1.8e-05 2.6e-04 4.2e-04 2.5e-01 7.3e-03 1.2e-02 1.4e-12 3.9e-12 4.2e-09 8.1e-01 
   13 1.0e+00 -1.0e-02 -1.0e-02 6.9e-05 2.5e-04 3.8e-04 1.9e-01 9.6e-03 1.2e-02 2.3e-12 4.6e-12 4.2e-09 9.0e-01 
   14 1.0e+00 -1.0e-02 -1.0e-02 1.1e-04 1.9e-04 3.5e-04 1.6e-01 6.9e-03 1.1e-02 2.5e-12 3.7e-12 4.2e-09 1.0e+00 
   15 1.0e+00 -1.0e-02 -1.0e-02 1.7e-04 1.6e-04 2.5e-04 1.3e-01 5.9e-03 1.1e-02 1.8e-12 3.1e-12 4.2e-09 1.0e+00 
   16 1.0e+00 -1.0e-02 -1.0e-02 1.9e-04 1.4e-04 1.8e-04 7.1e-02 4.9e-03 9.5e-03 8.6e-12 1.1e-11 4.2e-09 1.0e+00 
   17 1.0e+00 -1.0e-02 -1.0e-02 1.8e-04 1.1e-04 1.8e-04 8.6e-02 2.5e-03 8.3e-03 1.7e-11 1.8e-11 4.2e-09 9.0e-01 
   18 1.0e+00 -1.0e-02 -1.0e-02 2.3e-04 8.4e-05 1.2e-04 5.9e-02 3.1e-03 8.2e-03 3.1e-12 4.1e-12 4.2e-09 1.0e+00 
   19 1.0e+00 -1.0e-02 -1.0e-02 2.2e-04 7.3e-05 1.0e-04 4.5e-02 2.2e-03 7.0e-03 1.1e-11 1.2e-11 4.2e-09 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   20 1.0e+00 -9.9e-03 -1.0e-02 2.4e-04 5.7e-05 5.9e-05 2.6e-02 1.6e-03 6.7e-03 7.5e-12 8.1e-12 4.2e-09 1.0e+00 
   21 1.0e+00 -9.9e-03 -1.0e-02 2.5e-04 3.8e-05 3.1e-05 1.8e-02 9.2e-04 5.3e-03 1.4e-11 1.4e-11 4.2e-09 1.0e+00 
   22 1.0e+00 -9.9e-03 -1.0e-02 2.6e-04 2.0e-05 3.1e-05 1.2e-02 6.8e-04 4.1e-03 1.3e-11 1.3e-11 4.2e-09 1.0e+00 
   23 1.0e+00 -9.9e-03 -1.0e-02 2.7e-04 9.6e-06 8.6e-06 3.0e-03 4.2e-04 4.1e-03 1.1e-11 1.1e-11 4.2e-09 1.0e+00 
   24 1.0e+00 -9.9e-03 -1.0e-02 2.7e-04 5.4e-06 8.2e-06 2.6e-03 7.1e-05 1.7e-03 4.5e-11 4.5e-11 4.2e-09 5.9e-01 
   25 1.0e+00 -9.9e-03 -1.0e-02 2.6e-04 2.7e-06 1.0e-04 1.9e-02 4.1e-05 1.2e-03 3.3e-11 3.4e-11 4.2e-09 5.9e-01 
   26 1.0e+00 -9.9e-03 -1.0e-02 2.7e-04 1.3e-06 1.7e-06 3.2e-04 2.2e-04 3.2e-03 2.8e-12 2.8e-12 4.2e-09 1.0e+00 
   27 1.0e+00 -9.9e-03 -1.0e-02 2.2e-04 5.2e-07 6.4e-04 1.1e-01 1.2e-06 1.9e-04 6.0e-11 6.7e-11 2.0e-09 5.9e-01 
   28 1.0e+00 -1.0e-02 -1.0e-02 2.3e-04 6.8e-06 2.1e-05 3.0e-02 3.5e-04 2.0e-03 1.7e-11 1.6e-11 2.0e-09 1.0e+00 
   29 1.0e+00 -1.0e-02 -1.0e-02 1.9e-04 3.3e-06 2.3e-04 5.7e-02 1.3e-04 3.6e-04 7.6e-11 9.2e-11 2.0e-09 5.9e-01 
   30 1.0e+00 -1.0e-02 -1.0e-02 1.9e-04 1.4e-06 1.5e-05 5.0e-03 1.7e-04 9.4e-04 1.4e-11 1.7e-11 2.0e-09 1.0e+00 
   31 1.0e+00 -1.0e-02 -1.0e-02 1.4e-04 9.4e-08 1.5e-06 8.1e-04 1.2e-05 2.2e-04 8.3e-11 8.9e-11 2.0e-09 1.0e+00 
   32 1.0e+00 -1.0e-02 -1.0e-02 3.9e-05 3.9e-08 9.9e-04 1.4e-01 1.5e-06 6.1e-05 5.5e-11 5.5e-11 2.0e-09 5.9e-01 
   33 1.0e+00 -1.0e-02 -1.0e-02 3.8e-06 3.4e-07 1.4e-06 2.2e-04 1.3e-04 8.3e-04 4.6e-14 5.5e-14 2.0e-09 1.0e+00 
   34 1.0e+00 -1.0e-02 -1.0e-02 2.3e-05 7.3e-11 2.8e-06 9.5e-03 6.8e-08 1.8e-05 7.9e-13 3.0e-12 9.0e-10 1.0e+00 
   35 1.0e+00 -1.0e-02 -1.0e-02 1.5e-05 1.4e-07 2.6e-06 5.0e-04 6.2e-06 2.4e-05 1.5e-10 1.6e-10 9.0e-10 5.9e-01 
   36 1.0e+00 -1.0e-02 -1.0e-02 1.0e-05 3.8e-10 1.7e-06 7.0e-04 1.9e-07 2.3e-05 1.2e-11 1.2e-11 9.0e-10 1.0e+00 
   37 1.0e+00 -1.0e-02 -1.0e-02 1.0e-05 2.0e-10 2.5e-07 1.1e-04 2.6e-07 1.4e-05 1.9e-12 2.1e-12 9.0e-10 1.0e+00 
   38 1.0e+00 -1.0e-02 -1.0e-02 1.0e-05 3.0e-12 1.8e-06 5.7e-03 1.3e-08 1.9e-06 1.2e-12 1.3e-12 4.1e-10 1.0e+00 
   39 1.0e+00 -1.0e-02 -1.0e-02 6.9e-06 1.1e-08 2.1e-06 4.4e-04 7.7e-07 4.2e-06 9.0e-11 1.0e-10 4.1e-10 5.9e-01 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   40 1.0e+00 -1.0e-02 -1.0e-02 4.8e-06 6.9e-11 5.4e-07 6.0e-04 3.6e-08 4.4e-06 7.7e-12 8.0e-12 4.1e-10 1.0e+00 
   41 1.0e+00 -1.0e-02 -1.0e-02 4.8e-06 2.8e-11 1.6e-07 1.3e-04 2.3e-08 7.8e-07 6.3e-12 6.4e-12 4.1e-10 1.0e+00 
   42 1.0e+00 -1.0e-02 -1.0e-02 4.8e-06 1.2e-12 1.1e-06 3.3e-03 1.5e-09 1.4e-07 2.2e-12 2.2e-12 1.9e-10 1.0e+00 
   43 1.0e+00 -1.0e-02 -1.0e-02 3.2e-06 2.3e-10 2.2e-06 1.2e-03 4.1e-08 3.1e-07 4.4e-11 5.3e-11 1.9e-10 5.9e-01 
   44 1.0e+00 -1.0e-02 -1.0e-02 2.2e-06 1.2e-11 6.8e-07 6.4e-04 1.2e-08 4.1e-07 4.4e-12 4.7e-12 1.9e-10 1.0e+00 
