
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023a (9.14.0.2206163) 64-bit (glnxa64)
                             February 22, 2023

Warning: X does not support locale en_US.UTF-8
 
To get started, type doc.
For product information, visit www.mathworks.com.
 
*************************************************************************************
Solving problem 2013_firLinf from pass dataset ...
[Matrices A]
	block 1: 2001 x 59856, norm  = 2.0591e+04, sparcity = 6.6603e-01
	total: 2001 x 59856, norm = 2.0591e+04, sparcity = 6.6603e-01
[Cone]
	block 1: 'q' [ 3 3 3 3 3 ... 3 3 3 3 3 ]
		(Cartesian product of 19952 cones with sizes ranging from 3 to 3)
System_opt = 2
Number of dense rows: 2001
Number of sparse rows: 0
Number of dense columns (new At): 0
Number of sparse columns (new At): 0
Number of non-zero elements in lhs_structure: 0
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
    1 4.0e+02 -2.0e-01 -3.8e-01 1.2e-01 4.6e-01 3.4e-01 8.2e+01 7.4e+01 9.6e-01 2.5e-14 1.9e-08 6.0e-07 1.0e+00 
    2 4.0e+02 -2.6e-01 -7.6e-01 2.5e-01 4.5e-01 3.3e-02 7.2e+00 1.3e+01 2.9e-01 3.0e-15 7.9e-15 3.6e-07 1.0e+00 
    3 4.0e+02 -2.8e-01 -6.2e-01 1.8e-01 4.4e-01 3.1e-03 3.9e-01 5.8e-01 7.1e-02 7.5e-15 6.6e-15 2.2e-07 1.0e+00 
    4 4.0e+02 -3.5e-01  6.7e+00 8.8e-01 4.2e-01 1.1e+01 3.6e+03 7.8e-03 8.0e-03 1.7e-11 1.8e-11 1.3e-07 5.9e-01 
    5 4.0e+02  2.9e+01  1.0e+00 9.0e-01 2.0e+01 4.1e+00 1.2e+03 8.3e+01 1.2e-01 3.6e-15 2.5e-15 7.8e-08 1.0e+00 
    6 4.0e+02  4.2e+01 -8.9e-01 9.8e-01 2.8e+01 8.6e-01 2.4e+02 1.1e+01 3.4e-02 3.4e-15 8.3e-15 4.7e-08 1.0e+00 
    7 4.0e+02  2.7e+01 -1.8e+00 9.7e-01 1.8e+01 9.5e-02 9.5e-01 4.4e-01 4.3e-03 1.3e-14 1.3e-14 2.8e-08 1.0e+00 
    8 4.0e+02  1.4e+01  1.0e+02 7.5e-01 9.5e+00 1.7e+02 5.5e+04 5.9e-04 4.9e-04 3.7e-11 2.0e-09 1.7e-08 5.9e-01 
    9 4.0e+02 -4.5e+03  5.0e+00 1.0e+00 2.9e+03 3.2e+01 1.2e+04 3.2e+01 6.6e-03 1.0e-13 3.7e-14 1.0e-08 1.0e+00 
   10 4.0e+02 -1.4e+03 -9.8e-01 1.0e+00 9.5e+02 3.3e+00 4.9e+02 1.3e+00 8.1e-04 2.6e-14 4.2e-14 6.0e-09 1.0e+00 
