
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023a (9.14.0.2206163) 64-bit (glnxa64)
                             February 22, 2023

Warning: X does not support locale en_US.UTF-8
 
To get started, type doc.
For product information, visit www.mathworks.com.
 
*************************************************************************************
Solving problem beam7 from pass dataset ...
[Matrices A]
	block 1: 164649 x 58499, norm  = 2.4187e+02, sparcity = 1.2077e-05
	block 2: 164649 x 106150, norm  = 3.9903e+02, sparcity = 9.1103e-06
	block 3: 164649 x 504, norm  = 6.5748e+02, sparcity = 1.7945e-01
	total: 164649 x 165153, norm = 8.0623e+02, sparcity = 5.5777e-04
[Cone]
	block 1: 'l' [ 58499 ]
	block 2: 'b2l' [ 106150 ]
	block 3: 'q' [ 72 72 72 72 72 72 72 ]
System_opt = 2
Number of dense rows: 0
Number of sparse rows: 111574
Number of dense columns (new At): 474
Number of sparse columns (new At): 223185
Number of non-zero elements in lhs_structure: 31457244
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
    1 1.0e-03 -1.2e+01  2.5e+04 1.0e+00 9.8e-01 2.5e+00 4.4e+00 1.2e+00 1.3e+00 2.4e-11 9.3e-11 2.4e-06 1.0e+00 
    2 1.0e-03  6.7e+01  2.2e+04 9.9e-01 2.8e-01 2.1e+00 3.2e+00 3.0e-01 3.4e-01 7.0e-11 1.1e-09 1.4e-06 8.1e-01 
    3 1.0e-03  1.1e+02  5.0e+03 9.6e-01 5.4e-02 1.4e+00 2.0e+00 6.0e-02 2.3e-01 1.1e-10 1.9e-09 8.6e-07 8.1e-01 
    4 1.0e-03  1.1e+02  1.0e+03 8.1e-01 1.9e-02 9.7e-01 1.4e+00 8.1e-03 1.6e-01 8.7e-10 1.4e-08 5.2e-07 7.3e-01 
    5 1.0e-03  6.2e+01 -2.4e+02 1.0e+00 5.7e-03 5.2e-01 7.2e-01 2.1e-03 1.1e-01 3.6e-09 7.6e-08 3.1e-07 8.1e-01 
    6 1.0e-03  2.2e+01 -5.2e+02 1.0e+00 1.2e-03 4.9e-01 6.9e-01 5.6e-04 7.0e-02 3.9e-10 3.6e-09 1.9e-07 9.0e-01 
    7 1.0e-03  1.6e+01 -4.8e+02 1.0e+00 4.2e-04 5.1e-01 7.1e-01 6.0e-04 4.9e-02 1.5e-10 2.2e-10 1.1e-07 1.0e+00 
    8 1.0e-03  1.3e+01 -2.7e+02 1.0e+00 1.5e-04 3.5e-01 4.8e-01 8.8e-05 3.4e-02 4.2e-10 1.7e-09 6.7e-08 1.0e+00 
    9 1.0e-03  1.3e+01 -1.7e+02 9.9e-01 6.2e-05 2.6e-01 3.7e-01 5.0e-05 2.3e-02 1.2e-09 5.8e-09 4.0e-08 1.0e+00 
   10 1.0e-03  1.3e+01 -1.0e+02 9.9e-01 3.0e-05 2.4e-01 3.3e-01 2.6e-05 1.6e-02 4.0e-10 9.3e-10 2.4e-08 1.0e+00 
   11 1.0e-03  1.2e+01 -5.8e+01 9.9e-01 5.7e-05 4.8e-02 6.7e-02 8.6e-05 7.7e-02 2.9e-09 4.3e-09 2.4e-08 1.0e+00 
   12 1.0e-03  1.2e+01 -5.7e+01 9.9e-01 2.0e-05 1.9e-02 2.6e-02 5.7e-05 4.6e-02 4.9e-09 1.1e-08 2.4e-08 1.0e+00 
   13 1.0e-03  1.2e+01 -5.7e+01 9.9e-01 5.8e-06 1.3e-02 1.9e-02 8.2e-06 2.9e-02 1.9e-09 2.6e-09 2.4e-08 8.1e-01 
   14 1.0e-03  1.2e+01 -5.7e+01 9.9e-01 2.7e-06 2.0e-03 2.8e-03 3.5e-05 1.4e-01 1.8e-09 2.0e-09 2.4e-08 1.0e+00 
   15 1.0e-03  1.2e+01 -5.7e+01 9.9e-01 1.5e-06 4.3e-02 6.0e-02 1.7e-06 8.2e-02 1.1e-10 1.1e-10 2.4e-08 5.9e-01 
   16 1.0e-03  1.2e+01 -5.7e+01 9.9e-01 3.9e-06 1.2e-01 1.7e-01 6.3e-05 5.6e-01 3.6e-11 3.4e-11 1.5e-08 1.0e+00 
   17 1.0e-03  1.2e+01 -3.1e+01 9.8e-01 3.5e-05 2.1e-02 2.9e-02 1.4e-04 4.3e-01 3.3e-11 2.8e-11 1.5e-08 1.0e+00 
   18 1.0e-03  1.2e+01 -3.0e+01 9.8e-01 2.0e-05 4.8e-03 6.7e-03 1.5e-04 2.5e-01 1.2e-09 1.9e-09 1.5e-08 1.0e+00 
