AlH.1Sigma+.STO6G.pqg
 iter      mu     pobj     dobj     gap  gaporg pinforg dinforg       F    tau1    tau2   CGres  CGit 
    1 1.0e+00 -8.3e+02  2.5e+03 1.1e+00 4.0e+00 2.0e+00 6.5e-01 1.5e+00 1.1e+00 8.7e-01 2.1e-03     4 
    2 1.0e+00 -7.8e+02  2.7e+03 1.2e+00 4.4e+00 2.0e+00 5.8e-01 9.5e-01 7.5e-01 7.6e-01 6.1e-03     4 
    3 1.0e+00 -2.6e+02  1.6e+03 6.5e-01 7.4e+00 1.0e+00 3.8e-01 5.0e-01 2.9e-01 6.5e-01 8.7e-03     4 
    4 1.0e+00  1.2e+02  6.0e+02 1.6e-01 3.9e+00 2.9e-01 1.1e-01 1.6e-01 8.4e-02 5.0e-01 2.5e-03     6 
    5 1.0e+00  2.3e+02  3.3e+02 3.3e-02 4.2e-01 6.0e-02 3.4e-02 4.9e-02 2.7e-02 2.8e-01 9.4e-04     8 
    6 1.0e+00  2.5e+02  2.8e+02 1.2e-02 1.4e-01 9.0e-03 2.4e-02 3.6e-02 8.6e-03 1.5e-01 4.2e-04    15 
    7 1.0e+00  2.5e+02  2.7e+02 8.4e-03 9.8e-02 4.8e-03 1.2e-02 1.9e-02 6.4e-03 1.2e-01 3.5e-04    11 
    8 1.0e+00  2.4e+02  2.6e+02 5.4e-03 6.3e-02 9.5e-03 7.6e-03 2.1e-02 3.5e-03 8.1e-02 1.6e-04    16 
    9 1.0e+00  2.4e+02  2.5e+02 1.4e-03 1.7e-02 6.7e-03 1.5e-02 2.7e-02 5.7e-03 6.1e-02 2.1e-04    33 
   10 1.0e+00  2.5e+02  2.5e+02 1.9e-04 2.3e-03 2.5e-03 1.5e-02 2.3e-02 2.6e-02 4.0e-01 2.2e-04    17 
   11 1.5e+00  2.5e+02  2.5e+02 6.4e-04 7.5e-03 1.4e-03 7.5e-03 1.4e-02 8.5e-02 2.0e+00 2.3e-04     7 
   12 1.5e+00  2.5e+02  2.5e+02 6.3e-04 7.4e-03 8.8e-04 2.7e-03 3.6e-03 6.1e-02 1.4e+00 1.3e-04     9 
   13 1.5e+00  2.5e+02  2.5e+02 4.2e-04 4.9e-03 4.8e-04 2.5e-03 3.7e-03 8.4e-03 8.2e-01 2.9e-05    16 
   14 1.5e+00  2.5e+02  2.5e+02 4.6e-04 5.4e-03 4.1e-04 1.9e-03 2.1e-03 4.9e-02 4.0e+00 2.5e-05     6 
   15 1.5e+00  2.5e+02  2.5e+02 4.4e-04 5.2e-03 3.4e-04 1.7e-03 1.8e-03 7.1e-03 3.2e+00 2.1e-05     7 
   16 1.5e+00  2.5e+02  2.5e+02 4.1e-04 4.8e-03 2.7e-04 1.6e-03 1.6e-03 2.6e-03 2.8e+00 1.7e-05     7 
   17 1.5e+00  2.5e+02  2.5e+02 3.8e-04 4.5e-03 2.2e-04 1.5e-03 1.5e-03 9.5e-04 2.4e+00 1.3e-05     8 
   18 1.5e+00  2.5e+02  2.5e+02 3.6e-04 4.2e-03 1.6e-04 1.3e-03 1.4e-03 7.2e-04 2.1e+00 1.4e-05     8 
   19 1.5e+00  2.5e+02  2.5e+02 3.4e-04 4.0e-03 1.2e-04 1.2e-03 1.3e-03 4.5e-04 1.8e+00 1.3e-05     8 
 iter      mu     pobj     dobj     gap  gaporg pinforg dinforg       F    tau1    tau2   CGres  CGit 
   20 1.5e+00  2.5e+02  2.5e+02 3.2e-04 3.8e-03 8.4e-05 1.1e-03 1.2e-03 3.7e-04 1.6e+00 1.2e-05     8 
   21 2.2e+00  2.5e+02  2.5e+02 3.1e-04 3.7e-03 5.3e-05 1.0e-03 1.2e-03 3.2e-04 1.4e+00 1.0e-05     8 
   22 2.2e+00  2.5e+02  2.5e+02 2.7e-04 3.2e-03 3.8e-05 8.8e-04 9.0e-04 3.5e-03 1.2e+00 1.0e-05    11 
   23 2.2e+00  2.5e+02  2.5e+02 2.6e-04 3.0e-03 2.6e-05 8.2e-04 8.5e-04 2.4e-04 1.0e+00 8.1e-06     9 
   24 2.2e+00  2.5e+02  2.5e+02 2.4e-04 2.8e-03 1.7e-05 7.6e-04 7.8e-04 2.9e-04 8.9e-01 6.7e-06     9 
   25 2.2e+00  2.5e+02  2.5e+02 2.2e-04 2.6e-03 1.1e-05 7.0e-04 7.3e-04 1.3e-04 7.8e-01 6.2e-06     9 
   26 2.2e+00  2.5e+02  2.5e+02 2.0e-04 2.3e-03 6.9e-06 6.5e-04 6.7e-04 3.3e-04 6.8e-01 5.8e-06     9 
   27 2.2e+00  2.5e+02  2.5e+02 1.8e-04 2.1e-03 4.3e-06 6.0e-04 6.1e-04 2.1e-04 5.9e-01 6.0e-06     9 
   28 2.2e+00  2.5e+02  2.5e+02 1.6e-04 1.9e-03 3.2e-06 5.5e-04 5.6e-04 9.0e-05 5.1e-01 5.3e-06    10 
   29 2.2e+00  2.5e+02  2.5e+02 1.4e-04 1.6e-03 2.4e-06 5.0e-04 5.2e-04 7.2e-05 4.5e-01 4.8e-06    11 
   30 2.2e+00  2.5e+02  2.5e+02 1.2e-04 1.4e-03 2.5e-06 4.6e-04 5.0e-04 7.4e-05 3.9e-01 4.6e-06    12 
   31 3.4e+00  2.5e+02  2.5e+02 1.1e-04 1.3e-03 6.2e-06 4.2e-04 5.2e-04 2.7e-04 3.4e-01 4.4e-06    12 
   32 3.4e+00  2.5e+02  2.5e+02 8.0e-05 9.4e-04 4.5e-06 3.7e-04 4.1e-04 6.3e-04 2.9e-01 4.3e-06    18 
   33 3.4e+00  2.5e+02  2.5e+02 6.9e-05 8.1e-04 4.6e-06 3.4e-04 3.7e-04 1.8e-04 2.5e-01 3.9e-06    17 
   34 3.4e+00  2.5e+02  2.5e+02 5.8e-05 6.7e-04 1.7e-06 3.1e-04 3.3e-04 1.3e-04 2.2e-01 3.3e-06    18 
   35 3.4e+00  2.5e+02  2.5e+02 4.8e-05 5.6e-04 2.1e-06 2.9e-04 3.0e-04 5.4e-05 1.9e-01 2.9e-06    19 
   36 3.4e+00  2.5e+02  2.5e+02 3.9e-05 4.6e-04 3.2e-06 2.6e-04 2.8e-04 5.3e-05 1.6e-01 3.0e-06    19 
   37 3.4e+00  2.5e+02  2.5e+02 3.3e-05 3.9e-04 9.7e-06 2.4e-04 3.1e-04 6.6e-05 1.4e-01 2.7e-06    20 
   38 3.4e+00  2.5e+02  2.5e+02 2.7e-05 3.1e-04 7.4e-06 2.2e-04 2.8e-04 2.4e-04 1.2e-01 3.1e-06    20 
   39 3.4e+00  2.5e+02  2.5e+02 2.4e-05 2.8e-04 3.3e-06 2.0e-04 2.1e-04 2.1e-04 1.1e-01 2.7e-06    20 
 iter      mu     pobj     dobj     gap  gaporg pinforg dinforg       F    tau1    tau2   CGres  CGit 
   40 3.4e+00  2.5e+02  2.5e+02 2.0e-05 2.4e-04 3.7e-05 1.8e-04 2.8e-04 3.2e-05 9.3e-02 1.8e-06    25 
   41 5.1e+00  2.5e+02  2.5e+02 1.8e-05 2.2e-04 9.5e-05 1.6e-04 3.8e-04 2.5e-04 8.0e-02 2.7e-06    19 
